Day,Time,Title,Speaker,Room,Venue,Theme1,Theme2,Theme3,Description,Is highlight
Friday,16.15,Debate: From demolitions to social cleansing: the class war on housing,Panel,Malet Suite,SC,,,,We're joined by a panel of housing activists as well as special guests from the Labour Party and Green Party to discuss the fight for social housing.,
Friday,16.15,Iran on the brink,Peyman Jafari,3E,SC,Imperialism,,,,
Friday,16.15,Workshop: The concept of race: What does it mean to be Black?,Antony Hamilton,3D,SC,Racism,,,"New to Marxism Festival this year, the workshops series will be addressing key questions for anyone new to Marxist politics. Including group discussion and participation, these workshop provide a great opportunity to ask those questions you've always wanted to ask. ",
Friday,16.15,Workshop: Where does sexism come from?,Celia Hutchison,3C,SC,Sexism,,,"New to Marxism Festival this year, the workshops series will be addressing key questions for anyone new to Marxist politics. Including group discussion and participation, these workshop provide a great opportunity to ask those questions you've always wanted to ask. ",
Friday,16.15,What is the future with Artificial Intellingence and robots?,Martin Upchurch,3C,SC,Class,,,"We're joined by Dave Ward, General Secretary of CWU, and Ian Hodson, President of BFAWU, to debate the fight against austerity in the era of Corbyn.",
Friday,19.00,Debate Labour and the fight against austerity,"Dave Ward, Ian Hodson",The Venue,SC,Corbyn,Class,,,
Friday,19.00,Injustice and the British State,Sheila Coleman & Gareth Peirce,Upper Hall,SC,,,,Sheila Coleman from the Hillsborough Justice Campaign and campaigning lawyer Gareth Peirce join us to discuss Injustice & the British State.,
Friday,19.00,South Africa after Zuma,Ronnie Kasrils,Malet Suite,SC,,,,"Ronnie Kasrils, served in the South African liberation movement all his adult life, was chief of intelligence in the ANCs military wing, organised operations from exile including that of the London Recruits, served in Mandela's government as deputy minister of Defence, followed by other portfolios to 2008 when he resigned and became active as a critic of the ANC. Internationally active with Palestine Solidarity and author of several books. This will be followed by a special taster of new film 'The London Recruits', including Q & A witrh those involved.",
Friday,19.00,Is there progress in art?,John Molyneux,3E,SC,Culture,,,,
Friday,19.00,Gun and knife crime: why are young people killing each other?,Dean Ryan,3D,SC,Class,racism,,"A recent spate of killings has ignited debates about crime, its relationship to gangs, and the role of the police. Over 50 murder investigations have been opened in London 2018—and most victims are young and black. Much of the media blame the emergence of “postcode gangs” launching “turf wars” for the attacks. Dean Ryan, a youth worker in Hackeny, will be exploring the real reasons behind gun and knife crime. ",
Friday,19.00,The case against borders: why we oppose all immigration controls,Helen Salmon,3C,SC,Racism,,,,
Friday,21.00,Culture: Trump Comedy Roast ,,Gallery Bar,SC,Culture,,,"(https://www.facebook.com/events/167140864132481/) Hosted by comedians Johnny Cochrane and Jasmine Fischer, what better way to gear up for Trump's visit?",
Friday,21.00,The Young Karl Marx film screening,,The Venue,SC,Culture,,,"(https://www.facebook.com/events/604582456584128/) A rare chance to see the award winning film by Raoul Peck, director of 'I am Not Negro', which looks at how Karl Marx and Friedrich Engels became comrades and revolutionaries.",
Friday,21.00,Culture: London recruits screening,,Malet Suite,SC,Culture,,,"Following the meeting South Africa after Zuma with Ronnie Kasrils, freedom fighter in Apartheid South Africa, Marxism Festival is very pleased to host a special film trailer premier:The LONDON RECRUITS: A documentary that tells the secret story of how young activists in Britain carried out daring missions in apartheid South Africa to subvert the regime. More info at https://www.londonrecruits.com/",
Saturday,10.00,Is Leninism authoritarian?,John Molyneux,Upper Hall,SC,Socialism,,,,
Saturday,10.00,Iraq: What happened next?,Phil Marfleet,Elvin Hall,IOE,Imperialism,,,,
Saturday,10.00,How did women win the vote?,Sarah Bates,Malet Suite,SC,Sexism,,,,
Saturday,10.00,Antisemitism and the far right today,Anna Gluckstein,3C/D,SC,Racism,,,,
Saturday,10.00,Who were the real Black panthers?,Ameen Hadi,Nunn,IOE,Racism,,,,
Saturday,10.00,The lost revolution: 100 years on from the German revolution,,Clarke,IOE,,,,Part of our series of meetings to discussing the legacy of 1968: the year the world caught fire. ,
Saturday,10.00,Russia and Putin today,Rob Behan,Seminar room 802,IOE,Culture,,,,
